Timedrive06.td,corrected
,
0.1,-0.04159499000000011
0.2,-0.03139499000000012
0.3,-0.029794990000000132
0.4,-0.021928990000000093
0.5,-0.021928990000000093
0.6,-0.013861990000000102
0.7,-0.011594990000000138
0.8,-0.0063949900000001
0.9,-0.0063949900000001
1.0,-0.007394990000000101
1.1,-0.005394990000000099
1.2,-0.00806199000000013
1.3,-0.002661990000000114
1.4,-0.007394990000000101
1.5,-0.006261990000000106
1.6,-0.0025289900000001198
1.7,-0.007394990000000101
1.8,-0.00799499000000009
1.9,-0.0068619900000000955
2.0,-0.005861990000000095
2.1,-0.010128990000000115
2.2,-0.004861990000000094
2.3,-0.005261990000000105
2.4,-0.0010619900000001237
2.5,0.0006050099999999059
2.6,-0.000394990000000095
2.7,0.005871009999999899
2.8,0.008005009999999868
2.9,0.01007100999999988
3.0,0.01007100999999988
3.1,0.005271009999999909
3.2,0.0026050099999999077
3.3,0.005871009999999899
3.4,0.005871009999999899
3.5,0.007605009999999912
3.6,0.011871009999999904
3.7,0.009738009999999908
3.8,0.008071009999999879
3.9,0.01987100999999991
4.0,0.01720500999999991
4.1,0.01553800999999988
4.2,0.012405009999999883
4.3,0.004871009999999898
4.399999,0.002871009999999896
4.5,0.006671009999999866
4.6,0.008205009999999902
4.7,0.007205009999999901
4.8,0.005071009999999876
4.9,0.005071009999999876
5.0,0.0023380099999998905
5.1,0.0033380099999998913
5.2,7.100999999987145e-05
5.3,0.0033380099999998913
5.4,-0.010528990000000127
5.5,-0.008928990000000137
5.6,-0.007328990000000091
5.7,-0.005128990000000111
5.8,-0.0029949900000001417
5.9,0.0016710099999998618
6.0,0.0022050099999998962
6.1,0.005871009999999899
6.2,0.005871009999999899
6.3,0.005871009999999899
6.4,0.0068710099999999
6.5,0.01067100999999987
6.6,0.007538009999999873
6.7,0.007671009999999867
6.8,0.009805009999999892
6.9,0.009205009999999902
7.0,0.008605009999999913
7.1,0.007671009999999867
7.2,0.004338009999999892
7.3,0.004338009999999892
7.4,-0.000394990000000095
7.5,-0.0015949900000001294
7.6,-0.0063949900000001
7.7,-0.0063949900000001
7.8,0.003138009999999858
7.9,0.0068710099999999
8.0,0.004071009999999875
8.1,0.001938009999999879
8.199999,0.005071009999999876
8.3,0.0012050099999998953
8.4,0.0018710099999998953
8.5,0.0023380099999998905
8.6,0.005471009999999887
8.699999,0.00293800999999988
8.8,0.00293800999999988
8.9,0.0012710099999999058
9.0,-0.003994990000000087
9.1,-0.0043949900000000985
9.199999,-0.0033949900000000977
9.3,-0.012394990000000106
9.4,-0.008594990000000136
9.5,-0.006928990000000135
9.6,-0.0005949900000001285
9.7,0.003738009999999903
9.8,0.004338009999999892
9.9,0.0042710099999999085
10.0,0.009138009999999863
10.1,0.016005009999999875
10.2,0.028205009999999864
10.3,0.038405009999999906
10.4,0.05173800999999989
10.5,0.06407100999999987
10.6,0.08053800999999988
10.7,0.10187100999999987
10.8,0.11520500999999989
10.9,0.11833800999999988
11.0,0.1263380099999999
11.1,0.1328050099999999
11.2,0.1358710099999999
11.3,0.1556710099999999
11.4,0.17060400999999986
11.5,0.1728040099999999
11.6,0.1777380099999999
11.7,0.1776710099999999
11.8,0.18240500999999987
11.9,0.19307100999999988
12.0,0.20853800999999994
12.1,0.21913800999999988
12.2,0.2224050099999999
12.3,0.21173800999999992
12.4,0.2129380099999999
12.5,0.22633800999999987
12.6,0.21780500999999985
12.7,0.23173800999999994
12.8,0.23320500999999993
12.9,0.2471380099999999
